Actual,Predicted
39.4900016784668,39.86365814208985
39.810001373291016,39.52281795501709
39.59999847412109,39.92459503173828
40.18999862670898,39.70551742553711
40.04999923706055,40.32067638397217
40.02000045776367,39.99655548095703
38.7400016784668,40.05003734588623
38.58000183105469,38.8630876159668
39.2599983215332,38.73090274810791
39.58000183105469,39.603002319335936
39.36000061035156,39.45119548797607
39.790000915527344,39.431012344360354
38.75,39.762219734191895
38.91999816894531,38.717446403503416
39.400001525878906,39.51832160949707
39.959999084472656,39.636027030944824
40.4900016784668,40.235085105896
40.130001068115234,40.891749420166015
40.34000015258789,40.147832221984864
39.95000076293945,40.392972755432126
40.060001373291016,40.04290870666504
39.56999969482422,40.189084129333494
40.33000183105469,39.74934383392334
40.25,40.205310287475584
39.310001373291016,40.16745277404785
39.61000061035156,39.51359100341797
40.45000076293945,39.576080894470216
40.400001525878906,40.317403106689454
40.970001220703125,40.28717758178711
40.95000076293945,40.62429527282715
41.0,41.31796947479248
40.619998931884766,40.917536125183105
40.720001220703125,40.58247688293457
40.119998931884766,40.89197036743164
39.9900016784668,40.24889659881592
40.470001220703125,40.04284152984619
39.41999816894531,40.30425762176514
38.88999938964844,39.58932098388672
38.560001373291016,38.22093593597412
38.650001525878906,38.54846061706543
38.81999969482422,38.477388572692874
39.02000045776367,38.62487628936768
38.400001525878906,39.766670112609866
37.5099983215332,38.3495027923584
36.22999954223633,38.01965991973877
34.68000030517578,36.26529964447022
34.36000061035156,34.67113712310791
35.619998931884766,35.309281005859376
36.63999938964844,35.486337661743164
36.5099983215332,36.73515766143799
36.310001373291016,36.7959228515625
34.75,36.66221408843994
35.529998779296875,35.10879817962646
35.75,35.49856952667236
35.060001373291016,35.990736923217774
36.209999084472656,35.32784336090088
35.540000915527344,36.35430992126465
35.86000061035156,36.58327976226806
35.959999084472656,36.097353515625
35.54999923706055,36.021012420654294
36.150001525878906,35.9114986038208
36.52000045776367,36.20908473968506
36.400001525878906,36.46716773986817
35.7400016784668,36.52188854217529
35.689998626708984,35.98446014404297
35.04999923706055,35.99356254577637
34.95000076293945,35.059710083007815
34.54999923706055,35.011587867736814
34.45000076293945,34.684692764282225
33.369998931884766,34.78608749389648
33.7400016784668,33.54324068069458
34.33000183105469,33.777168636322024
33.7400016784668,34.24154182434082
34.66999816894531,33.834067039489746
35.34000015258789,34.28231861114502
34.900001525878906,35.15073307037353
35.540000915527344,35.37283622741699
36.0099983215332,35.56196342468262
36.22999954223633,35.854900131225584
35.9900016784668,36.02855911254883
35.630001068115234,36.229721565246585
35.04999923706055,35.992793502807615
35.58000183105469,35.34890914916992
35.779998779296875,35.64767547607422
36.22999954223633,36.077986526489255
36.31999969482422,36.26478935241699
35.900001525878906,36.75901332855224
36.09000015258789,36.656062622070316
37.11000061035156,37.17235408782959
36.83000183105469,37.11568309783936
37.04999923706055,36.89930274963379
37.52000045776367,36.84254306793213
37.70000076293945,36.836713523864745
37.7599983215332,36.89248664855957
38.59000015258789,38.273740234375
38.27000045776367,38.32441173553467
38.34000015258789,38.377257652282715
38.29999923706055,38.57777400970459
38.13999938964844,38.39736091613769
37.91999816894531,38.017621192932125
37.97999954223633,38.136690101623536
37.65999984741211,38.32730693817139
37.4900016784668,38.12681671142578
36.77000045776367,37.268324012756345
37.33000183105469,36.82973072052002
38.380001068115234,36.99015243530273
39.34000015258789,38.43738052368164
38.5,39.02373302459717
39.27999877929688,38.66076610565185
40.02999877929688,39.11231121063233
40.66999816894531,40.066107292175296
41.34000015258789,40.55662307739258
41.970001220703125,41.201780014038086
41.81999969482422,41.77859661102295
41.060001373291016,41.951608428955076
40.41999816894531,41.61319122314453
40.150001525878906,41.05973892211914
41.09999847412109,40.432561798095705
40.70000076293945,40.90664810180664
41.16999816894531,40.62188591003418
40.97999954223633,40.97289981842041
41.25,41.40126361846924
40.18999862670898,41.373785514831546
40.25,40.24475353240967
40.810001373291016,40.52262096405029
