Date,Actual,Predicted
2015-06-15,39.52000045776367,39.33126027433468
2015-06-16,39.790000915527344,39.643666963337274
2015-06-17,39.59999847412109,39.47337704473731
2015-06-18,39.900001525878906,39.96599157014194
2015-06-19,39.4900016784668,39.62116619167775
2015-06-22,39.810001373291016,39.92952901288638
2015-06-23,39.59999847412109,39.59066709451886
2015-06-24,40.18999862670898,39.89250923771395
2015-06-25,40.04999923706055,39.9543884166261
2015-06-26,40.02000045776367,39.955717954768375
2015-06-29,38.7400016784668,38.96596014170049
2015-06-30,38.58000183105469,38.731585447963795
2015-07-01,39.2599983215332,39.16505835728667
2015-07-02,39.58000183105469,39.45717012835864
2015-07-06,39.36000061035156,39.4096284226861
2015-07-07,39.790000915527344,39.5108751670373
2015-07-08,38.75,38.80760046063974
2015-07-09,38.91999816894531,39.10324467052188
2015-07-10,39.400001525878906,39.38194704169812
2015-07-13,39.959999084472656,39.877996907290424
2015-07-14,40.4900016784668,40.421521805687334
2015-07-15,40.130001068115234,40.16729434012866
2015-07-16,40.34000015258789,40.290444454713295
2015-07-17,39.95000076293945,39.98704431160142
2015-07-20,40.060001373291016,40.05640551906536
2015-07-21,39.56999969482422,39.64404706138919
2015-07-22,40.33000183105469,40.13962405946756
2015-07-23,40.25,40.12549504705814
2015-07-24,39.310001373291016,39.42397982781934
2015-07-27,39.61000061035156,39.188393669575916
2015-07-28,40.45000076293945,40.11129998894812
2015-07-29,40.400001525878906,40.47215026707389
2015-07-30,40.970001220703125,40.73563678181445
2015-07-31,40.95000076293945,40.92800340808871
2015-08-03,41.0,40.84205852068547
2015-08-04,40.619998931884766,40.89569944976342
2015-08-05,40.720001220703125,40.96039294510799
2015-08-06,40.119998931884766,40.187918383326675
2015-08-07,39.9900016784668,39.83680527914481
2015-08-10,40.470001220703125,40.52598711121675
2015-08-11,39.41999816894531,39.450006053034244
2015-08-12,38.88999938964844,38.491064995381365
2015-08-13,38.560001373291016,38.57163800402846
2015-08-14,38.650001525878906,38.509991679514144
2015-08-17,38.81999969482422,38.65460651570524
2015-08-18,39.02000045776367,39.85145586909239
2015-08-19,38.400001525878906,38.411370051410266
2015-08-20,37.5099983215332,37.72744821137612
2015-08-21,36.22999954223633,36.51657907736634
2015-08-24,34.68000030517578,34.78306170751101
2015-08-25,34.36000061035156,35.038661418741
2015-08-26,35.619998931884766,35.235253288718354
2015-08-27,36.63999938964844,36.4967387676694
2015-08-28,36.5099983215332,36.374085120380144
2015-08-31,36.310001373291016,36.15973636246883
2015-09-01,34.75,34.73428436007343
2015-09-02,35.529998779296875,35.31538218562187
2015-09-03,35.75,35.93190777229066
2015-09-04,35.060001373291016,35.13162362736638
2015-09-08,36.209999084472656,36.112233431255376
2015-09-09,35.540000915527344,35.893562222198625
2015-09-10,35.86000061035156,35.842451248565936
2015-09-11,35.959999084472656,35.73724614022318
2015-09-14,35.54999923706055,35.571810215885705
2015-09-15,36.150001525878906,36.06406134781108
2015-09-16,36.52000045776367,36.62654829317094
2015-09-17,36.400001525878906,36.62649078727587
2015-09-18,35.7400016784668,35.799856099658
2015-09-21,35.689998626708984,35.66687021553631
2015-09-22,35.04999923706055,35.008208194299115
2015-09-23,34.95000076293945,34.99018281013337
2015-09-24,34.54999923706055,34.27900493687572
2015-09-25,34.45000076293945,34.50164900105962
2015-09-28,33.369998931884766,33.49889101363662
2015-09-29,33.7400016784668,33.81190099731725
2015-09-30,34.33000183105469,34.15580607710338
2015-10-01,33.7400016784668,33.770305555088
2015-10-02,34.66999816894531,34.28681417561935
2015-10-05,35.34000015258789,35.267361514962914
2015-10-06,34.900001525878906,34.71982504185253
2015-10-07,35.540000915527344,35.6269897113292
2015-10-08,36.0099983215332,35.883951127848256
2015-10-09,36.22999954223633,36.19695725756894
2015-10-12,35.9900016784668,35.967910616999845
2015-10-13,35.630001068115234,35.860558511075205
2015-10-14,35.04999923706055,35.19284984947082
2015-10-15,35.58000183105469,35.37336639763397
2015-10-16,35.779998779296875,35.738156495339226
2015-10-19,36.22999954223633,36.05064826762721
2015-10-20,36.31999969482422,36.340381627007474
2015-10-21,35.900001525878906,36.02458737721248
2015-10-22,36.09000015258789,36.635079713342435
2015-10-23,37.11000061035156,36.971019904786885
2015-10-26,36.83000183105469,36.831884685552325
2015-10-27,37.04999923706055,36.8316865910097
2015-10-28,37.52000045776367,37.3133828708991
2015-10-29,37.70000076293945,37.57806604969589
2015-10-30,37.7599983215332,37.95187882186438
2015-11-02,38.59000015258789,38.45366593030779
2015-11-03,38.27000045776367,38.30074594636712
2015-11-04,38.34000015258789,38.22922251247519
2015-11-05,38.29999923706055,38.1970658783512
2015-11-06,38.13999938964844,38.21818961440269
2015-11-09,37.91999816894531,37.662514022710795
2015-11-10,37.97999954223633,37.94165306211195
2015-11-11,37.65999984741211,37.8169555859598
2015-11-12,37.4900016784668,37.516042415128226
2015-11-13,36.77000045776367,36.88725365280222
2015-11-16,37.33000183105469,37.229835541794834
2015-11-17,38.380001068115234,37.946945276597276
2015-11-18,39.34000015258789,39.12317639922166
2015-11-19,38.5,38.79508529047884
2015-11-20,39.27999877929688,39.0925011594168
2015-11-23,40.02999877929688,39.79622781837639
2015-11-24,40.66999816894531,40.4297162857683
2015-11-25,41.34000015258789,41.1961068511029
2015-11-27,41.970001220703125,41.88211505707132
2015-11-30,41.81999969482422,41.75736387983746
2015-12-01,41.060001373291016,41.38087570072116
2015-12-02,40.41999816894531,40.75377339884083
2015-12-03,40.150001525878906,40.20735701258627
2015-12-04,41.09999847412109,40.94742039772867
2015-12-07,40.70000076293945,40.727440649370635
2015-12-08,41.16999816894531,40.98113167039777
2015-12-09,40.97999954223633,41.343601989151196
2015-12-10,41.25,41.24409789014497
2015-12-11,40.18999862670898,40.13500167371764
2015-12-14,40.25,40.22757064921845
2015-12-15,40.810001373291016,40.94048706965827
2015-12-16,41.43000030517578,41.24488543390149
2015-12-17,40.77999877929688,40.99355920539985
2015-12-18,40.09999847412109,40.23201069374259
2015-12-21,40.83000183105469,40.97661547330777
2015-12-22,41.220001220703125,41.09112796184573
2015-12-23,41.77000045776367,41.71249498609714
2015-12-24,42.13999938964844,42.077302322033844
2015-12-28,41.77999877929688,41.68132306883347
2015-12-29,42.36000061035156,42.32303644149154
2015-12-30,42.16999816894531,42.12156146069035
2015-12-31,41.810001373291016,42.021388795443976
2016-01-04,40.68999862670898,40.498869113825926
2016-01-05,40.54999923706055,40.594002484760985
2016-01-06,40.72999954223633,40.62996455475238
2016-01-07,39.0,39.00549556639693
2016-01-08,38.59000015258789,38.975606599858544
2016-01-11,37.93999862670898,37.879960390569494
2016-01-12,38.18999862670898,38.065377415299366
2016-01-13,36.86000061035156,37.138997051622184
2016-01-14,37.61000061035156,37.42384876683741
2016-01-15,37.11000061035156,37.081949664476014
2016-01-19,37.20000076293945,37.285621004551516
2016-01-20,37.2599983215332,36.936790408200615
2016-01-21,37.22999954223633,37.30690504405973
2016-01-22,37.97999954223633,38.0026124795085
2016-01-25,37.61000061035156,37.749649854147165
2016-01-26,37.5099983215332,37.57863424314975
2016-01-27,37.04999923706055,37.284655372118
2016-01-28,36.11000061035156,36.28659935705436
2016-01-29,37.650001525878906,37.43532216140233
2016-02-01,37.68999862670898,37.51175299920706
2016-02-02,37.06999969482422,37.17023172459706
2016-02-03,37.18999862670898,36.71598229136049
2016-02-04,37.41999816894531,37.485764508206344
2016-02-05,36.040000915527344,36.12030957660977
2016-02-08,34.79999923706055,34.70452502813244
2016-02-09,35.369998931884766,35.28356472783723
2016-02-10,35.849998474121094,36.362158531728056
2016-02-11,35.33000183105469,35.22692524155696
2016-02-12,36.220001220703125,36.03987137312255
2016-02-16,37.08000183105469,36.954016207842024
2016-02-17,37.869998931884766,36.92119408201771
2016-02-18,37.18999862670898,37.35095213599163
2016-02-19,37.43999862670898,37.341509045371126
2016-02-22,38.02999877929688,38.11994767115837
2016-02-23,37.16999816894531,37.26227821194526
2016-02-24,37.47999954223633,37.14332065629708
2016-02-25,37.630001068115234,37.28162611276944
2016-02-26,37.59000015258789,37.660680151064646
2016-02-29,37.34999847412109,37.45386101741253
2016-03-01,38.59000015258789,38.49390972657457
2016-03-02,39.040000915527344,39.01048627319456
2016-03-03,39.20000076293945,39.037204866474596
2016-03-04,39.34000015258789,39.38216363052007
2016-03-07,39.43000030517578,39.42243191662658
2016-03-08,38.09000015258789,38.23699340542721
2016-03-09,38.130001068115234,38.15224681092374
2016-03-10,37.97999954223633,38.01269255965531
2016-03-11,39.22999954223633,39.11660138867358
2016-03-14,39.02000045776367,38.70644558872299
2016-03-15,38.290000915527344,38.22467352342282
2016-03-16,38.97999954223633,38.81564167219716
2016-03-17,39.290000915527344,39.053747048645604
2016-03-18,40.18999862670898,40.179583489944825
2016-03-21,39.650001525878906,39.750239306135995
2016-03-22,39.880001068115234,39.839508391125186
2016-03-23,39.470001220703125,39.55194025632772
2016-03-24,39.43000030517578,39.172817021976826
2016-03-28,39.52000045776367,39.43584833298435
2016-03-29,40.15999984741211,39.86648647489004
2016-03-30,40.119998931884766,40.19778994509481
2016-03-31,39.84999847412109,39.79264138312048
2016-04-01,40.310001373291016,40.12150456053259
2016-04-04,40.0099983215332,40.05969851304625
2016-04-05,39.2599983215332,39.365128318655465
2016-04-06,40.2400016784668,39.995916439989465
2016-04-07,39.470001220703125,39.492808660833916
2016-04-08,39.540000915527344,39.69996862613118
2016-04-11,39.40999984741211,39.60458376027126
2016-04-12,39.75,39.68001075919169
2016-04-13,40.68999862670898,40.61362044488194
2016-04-14,40.77999877929688,40.80545515466628
2016-04-15,40.90999984741211,40.81859509833398
2016-04-18,41.310001373291016,41.18546347561178
2016-04-19,41.400001525878906,41.52490134498252
2016-04-20,41.52000045776367,41.531858001206956
2016-04-21,41.93000030517578,41.83516474323638
2016-04-22,41.79999923706055,41.68295124228044
2016-04-25,41.630001068115234,41.66569876920781
2016-04-26,41.31999969482422,41.44740375576042
2016-04-27,41.58000183105469,41.451226917396184
2016-04-28,41.18000030517578,41.40992539951525
2016-04-29,40.91999816894531,40.5286999883291
2016-05-02,41.709999084472656,41.636493501297
2016-05-03,41.2400016784668,41.09490674488858
2016-05-04,40.52000045776367,40.68041603377194
2016-05-05,40.959999084472656,40.88190316983988
2016-05-06,41.43000030517578,41.336797562925526
2016-05-09,41.33000183105469,41.526856908575965
2016-05-10,42.0,41.82787019867299
2016-05-11,42.459999084472656,42.85885958412743
2016-05-12,42.72999954223633,42.74169400762436
2016-05-13,42.619998931884766,42.671106264272375
2016-05-16,42.93999862670898,42.871157694725525
2016-05-17,44.40999984741211,44.52911301960287
2016-05-18,44.31999969482422,44.314175079429816
2016-05-19,44.560001373291016,44.518596101015056
2016-05-20,44.88999938964844,45.02208526503525
2016-05-23,44.56999969482422,44.65329474490567
2016-05-24,45.02999877929688,45.118505881867605
2016-05-25,45.41999816894531,45.48532150712946
2016-05-26,45.5099983215332,45.350564232904425
2016-05-27,45.81999969482422,45.666259834715675
2016-05-31,45.88999938964844,45.792314871174
2016-06-01,45.95000076293945,45.78598397192767
2016-06-02,45.900001525878906,45.99300005068643
2016-06-03,45.720001220703125,45.42466944161857
2016-06-06,45.86000061035156,45.91956039830788
2016-06-07,45.75,45.75252765687313
2016-06-08,46.150001525878906,46.05471461076391
2016-06-09,46.09000015258789,46.03461233493769
2016-06-10,45.36000061035156,45.3095264834403
2016-06-13,44.91999816894531,45.12038154453981
2016-06-14,44.90999984741211,44.76699537926062
2016-06-15,44.93999862670898,45.14760380819861
2016-06-16,45.369998931884766,45.152625905905985
2016-06-17,45.36000061035156,45.04886839650087
2016-06-20,46.13999938964844,46.17252444831582
2016-06-21,46.15999984741211,45.99179442982855
2016-06-22,46.02999877929688,46.201072513154415
2016-06-23,46.68000030517578,46.631379738485684
2016-06-24,44.119998931884766,44.103502581142976
2016-06-27,42.2599983215332,42.32714727222217
2016-06-28,43.11000061035156,42.73735951753095
2016-06-29,43.7599983215332,43.68533416510612
2016-06-30,44.36000061035156,44.17041404995375
2016-07-01,44.59999847412109,44.64472852072247
2016-07-05,43.75,43.770296013741735
2016-07-06,44.470001220703125,44.144008323520275
2016-07-07,44.41999816894531,44.44588852848605
2016-07-08,45.47999954223633,45.454647560060124
2016-07-11,45.400001525878906,45.53302718598162
2016-07-12,46.52999877929688,46.41317770224718
2016-07-13,46.40999984741211,46.53315169187631
2016-07-14,46.79999923706055,46.87841355035126
2016-07-15,46.66999816894531,46.67372108911082
2016-07-18,46.79999923706055,46.62713926424524
2016-07-19,46.97999954223633,46.78149284977159
2016-07-20,47.0099983215332,47.00797592286267
2016-07-21,46.66999816894531,46.70390286560149
2016-07-22,46.58000183105469,46.554348395923505
2016-07-25,46.13999938964844,46.07459637616544
2016-07-26,46.95000076293945,46.52324548386774
2016-07-27,47.2599983215332,47.15989183726793
2016-07-28,47.5099983215332,47.468877606848004
2016-07-29,48.11000061035156,47.925722059163306
2016-08-01,47.869998931884766,47.754366680718185
2016-08-02,47.18000030517578,47.15853561290752
2016-08-03,47.09000015258789,47.00541711901889
2016-08-04,46.83000183105469,46.956862870486795
2016-08-05,47.4900016784668,47.47140367876749
2016-08-08,47.22999954223633,47.31702898451253
2016-08-09,47.45000076293945,47.47434300390445
2016-08-10,47.5099983215332,47.36793161458461
2016-08-11,48.130001068115234,47.97036296914742
2016-08-12,48.13999938964844,47.939472332097154
2016-08-15,48.43999862670898,48.45844477940487
2016-08-16,48.27999877929688,48.31167947229132
2016-08-17,48.43000030517578,48.27816303971825
2016-08-18,46.720001220703125,46.41912853453509
2016-08-19,47.619998931884766,47.46540785778967
2016-08-22,47.58000183105469,47.59918199395634
2016-08-23,47.81999969482422,47.9567580504896
2016-08-24,46.70000076293945,46.91146119926004
2016-08-25,47.2599983215332,47.185250003408186
2016-08-26,47.31999969482422,47.43826752676644
2016-08-29,47.619998931884766,47.68038929660411
2016-08-30,47.13999938964844,47.30772825241041
2016-08-31,46.97999954223633,46.93721576509655
2016-09-01,46.9900016784668,47.008558549603045
2016-09-02,47.0,47.110216854684495
2016-09-06,46.95000076293945,46.90834895099286
2016-09-07,47.11000061035156,47.01559577968622
2016-09-08,47.02000045776367,47.03064793178674
2016-09-09,44.880001068115234,45.16015437656039
2016-09-12,45.75,45.421525896130966
2016-09-13,44.900001525878906,44.78091881467233
2016-09-14,44.86000061035156,44.79388921330146
2016-09-15,45.43999862670898,45.437220509725115
2016-09-16,44.790000915527344,44.868826028902355
2016-09-19,44.95000076293945,45.26770282510698
2016-09-20,45.709999084472656,45.71514324888359
2016-09-21,46.040000915527344,45.82720912093007
2016-09-22,46.66999816894531,46.61325075058402
2016-09-23,46.61000061035156,46.622497390745735
2016-09-26,46.56999969482422,46.45067998837126
2016-09-27,46.70000076293945,46.46540161324824
2016-09-28,47.18000030517578,46.94776019930659
2016-09-29,46.40999984741211,46.49147192315196
2016-09-30,47.09000015258789,46.98907075932864
2016-10-03,47.13999938964844,47.08769578224243
2016-10-04,46.83000183105469,46.91168220218213
2016-10-05,47.150001525878906,47.182897009787695
2016-10-06,47.29999923706055,47.21191117000189
2016-10-07,47.380001068115234,47.21825281449428
2016-10-10,47.68999862670898,47.965854340976364
2016-10-11,45.68999862670898,45.762788305738205
2016-10-12,45.470001220703125,45.53743040690305
2016-10-13,45.15999984741211,45.054092731211
2016-10-14,45.08000183105469,45.32954166694828
2016-10-17,45.150001525878906,45.28989136287401
2016-10-18,45.43999862670898,45.540827115690156
2016-10-19,46.02000045776367,45.92066329312517
2016-10-20,46.04999923706055,45.91629239946054
2016-10-21,45.56999969482422,45.356852336385984
2016-10-24,45.84999847412109,45.80476878241823
2016-10-25,43.5099983215332,43.77729519746956
2016-10-26,43.369998931884766,43.53758176486372
2016-10-27,43.380001068115234,43.70583916414806
2016-10-28,43.220001220703125,43.49812378376822
2016-10-31,43.56999969482422,43.52299775449205
2016-11-01,43.4900016784668,43.57730344504242
2016-11-02,43.2599983215332,43.450814147282394
2016-11-03,43.65999984741211,43.71930360318357
2016-11-04,44.31999969482422,44.577498211963515
2016-11-07,45.709999084472656,45.65873726282059
2016-11-08,45.619998931884766,45.66812892717326
2016-11-09,45.93999862670898,45.28467466197814
2016-11-10,47.02999877929688,47.07768049879947
2016-11-11,46.369998931884766,46.37415768785071
2016-11-14,45.33000183105469,45.58818085317097
2016-11-15,45.400001525878906,45.5071152688571
2016-11-16,46.18000030517578,47.26559590371065
2016-11-17,45.93999862670898,45.724789781891864
2016-11-18,45.040000915527344,45.37711734338656
2016-11-21,44.970001220703125,44.84536418574569
2016-11-22,44.459999084472656,44.24204345473812
2016-11-23,44.650001525878906,44.4556447179978
2016-11-25,44.88999938964844,44.87254636877644
2016-11-28,43.59999847412109,43.83160112486075
2016-11-29,44.47999954223633,44.340043796515765
2016-11-30,43.97999954223633,44.23236654769952
2016-12-01,43.209999084472656,43.22077604660342
2016-12-02,44.02999877929688,43.917624785203316
2016-12-05,44.52999877929688,44.58622604767218
2016-12-06,44.84000015258789,44.58517954739991
2016-12-07,44.9900016784668,44.56428874741518
2016-12-08,45.79999923706055,45.50150495716854
2016-12-09,46.29999923706055,46.200414547182824
2016-12-12,46.13999938964844,46.476040776760165
2016-12-13,46.38999938964844,46.436500344926934
2016-12-14,46.13999938964844,46.34308466015241
2016-12-15,46.560001373291016,46.47821105477674
2016-12-16,45.90999984741211,46.19565925196041
2016-12-19,45.43000030517578,45.692274719854254
2016-12-20,46.209999084472656,46.08228230114807
2016-12-21,46.040000915527344,46.05232491613918
2016-12-22,45.970001220703125,45.96507247477793
2016-12-23,46.20000076293945,46.112456023052566
2016-12-27,46.5099983215332,46.56411672909214
2016-12-28,45.720001220703125,45.98436708496658
2016-12-29,45.63999938964844,45.8049061320279
2016-12-30,45.560001373291016,45.539733555568716
2017-01-03,46.4900016784668,46.46295297229785
2017-01-04,47.09999847412109,47.22745741690296
2017-01-05,46.540000915527344,46.535303911035044
2017-01-06,47.9900016784668,47.703505969824846
2017-01-09,48.13999938964844,48.309748748340766
2017-01-10,48.09999847412109,48.12080800698967
2017-01-11,49.25,49.04108568867024
2017-01-12,48.52000045776367,48.19302201575596
2017-01-13,48.68999862670898,48.65446353212844
2017-01-17,48.31999969482422,48.41667082163617
2017-01-18,48.25,48.25886003476891
2017-01-19,47.63999938964844,47.64346702679124
2017-01-20,47.619998931884766,47.61335590526844
2017-01-23,47.38999938964844,47.470360580015885
2017-01-24,47.34999847412109,47.57057111362859
2017-01-25,48.40999984741211,48.13658507026297
2017-01-26,48.16999816894531,48.06265639603148
2017-01-27,48.650001525878906,48.694629013127035
2017-01-30,47.66999816894531,47.68003542345604
2017-01-31,48.970001220703125,48.901441071481756
2017-02-01,49.2599983215332,49.36461608000796
2017-02-02,48.900001525878906,48.639647507896086
2017-02-03,49.380001068115234,49.3740678557905
2017-02-06,49.27000045776367,49.16365942632558
2017-02-07,49.63999938964844,49.58651086243352
2017-02-08,49.93000030517578,49.7333614896188
2017-02-09,50.470001220703125,50.54870228860702
2017-02-10,50.36000061035156,50.21885601518983
2017-02-13,50.52000045776367,50.6737227232468
2017-02-14,50.38999938964844,50.3922370005136
2017-02-15,51.619998931884766,51.37981466238296
2017-02-16,50.84000015258789,50.84243530055622
2017-02-17,51.630001068115234,51.33223671010555
2017-02-21,51.34999847412109,51.3860794241158
2017-02-22,51.34000015258789,51.4865886795867
2017-02-23,51.470001220703125,51.39761117034837
2017-02-24,51.7400016784668,51.662568446407555
2017-02-27,51.65999984741211,51.67023066493229
2017-02-28,51.29999923706055,51.36293793204046
2017-03-01,52.040000915527344,52.11394210063729
2017-03-02,51.380001068115234,51.51382351082521
2017-03-03,51.97999954223633,51.721567583949195
2017-03-06,51.25,51.35732725979396
2017-03-07,51.209999084472656,51.165071512992164
2017-03-08,51.40999984741211,51.27547212317458
2017-03-09,51.43000030517578,51.33019618094131
2017-03-10,52.150001525878906,52.06528002965701
2017-03-13,52.45000076293945,52.27729518830512
2017-03-14,52.209999084472656,52.039812427206996
2017-03-15,54.09999847412109,54.30452912365012
2017-03-16,53.04999923706055,53.30088182226322
2017-03-17,53.310001373291016,53.291413812991436
2017-03-20,53.150001525878906,53.28733822469682
2017-03-21,52.65999984741211,52.982642453591346
2017-03-22,53.130001068115234,53.18688094627802
2017-03-23,53.18000030517578,53.30535121348102
2017-03-24,53.08000183105469,53.23873326518606
2017-03-27,53.2400016784668,52.971278207137864
2017-03-28,53.43999862670898,53.387751216541446
2017-03-29,53.119998931884766,53.003251520122824
2017-03-30,53.31999969482422,53.1874060007716
2017-03-31,52.869998931884766,52.93923380243289
2017-04-03,53.20000076293945,53.019226112915675
2017-04-04,52.619998931884766,52.675777606747516
2017-04-05,52.709999084472656,53.02952832682507
2017-04-06,53.150001525878906,52.800125469060454
2017-04-07,52.84000015258789,52.7834700345468
2017-04-10,52.720001220703125,52.96772709262682
2017-04-11,52.83000183105469,52.61818654698227
2017-04-12,52.54999923706055,52.6770013413538
2017-04-13,52.33000183105469,52.51938750756489
2017-04-17,53.459999084472656,53.32600870574092
2017-04-18,53.02999877929688,53.11418463890173
2017-04-19,53.06999969482422,53.126405236768676
2017-04-20,53.130001068115234,53.020862637481265
2017-04-21,53.27000045776367,53.073835486539465
2017-04-24,54.43999862670898,54.429431025294136
2017-04-25,54.810001373291016,54.906117742236724
2017-04-26,54.83000183105469,55.07798438892364
2017-04-27,55.43000030517578,55.29723431733971
2017-04-28,55.04999923706055,54.96573827283757
2017-05-01,55.79999923706055,55.79756372430788
2017-05-02,55.93000030517578,55.7072101266786
2017-05-03,56.15999984741211,56.02142847297336
2017-05-04,56.70000076293945,56.57108119828824
2017-05-05,56.63999938964844,56.730617862795114
2017-05-08,56.31999969482422,56.23876352595574
2017-05-09,56.869998931884766,56.687355859831136
2017-05-10,56.27000045776367,56.326486689409336
2017-05-11,56.22999954223633,56.05999205803758
2017-05-12,56.15999984741211,56.16315106454018
2017-05-15,56.70000076293945,56.524978753030155
2017-05-16,56.83000183105469,57.12908921843431
2017-05-17,55.77000045776367,55.942263402612674
2017-05-18,55.84999847412109,55.9378492632476
2017-05-19,56.130001068115234,56.10677304558055
2017-05-22,56.08000183105469,56.05050485338633
2017-05-23,58.65999984741211,58.99209515159181
2017-05-24,59.22999954223633,58.79624810301314
2017-05-25,59.29999923706055,59.22743819436194
2017-05-26,59.5099983215332,59.428866119569456
2017-05-30,60.369998931884766,60.1325359781614
2017-05-31,60.34000015258789,60.303563622315345
2017-06-01,60.72999954223633,60.391830986730376
2017-06-02,60.810001373291016,60.98900499919806
2017-06-05,60.400001525878906,60.45924589020866
2017-06-06,60.09999847412109,60.32685543313549
2017-06-07,60.630001068115234,60.44552959157224
2017-06-08,60.150001525878906,60.01812042424965
2017-06-09,59.209999084472656,59.512696028994846
2017-06-12,58.9900016784668,58.60650227113576
2017-06-13,59.27999877929688,59.36202278220417
2017-06-14,59.380001068115234,59.3721916210783
2017-06-15,59.209999084472656,58.9725031655877
2017-06-16,59.5099983215332,59.56870609145763
2017-06-19,60.54999923706055,60.37416395147812
2017-06-20,60.33000183105469,60.5836394396171
2017-06-21,59.790000915527344,59.95775037664009
2017-06-22,60.61000061035156,60.341135589897746
2017-06-23,59.77000045776367,59.768610989771275
2017-06-26,59.2400016784668,59.403845824545435
2017-06-27,58.880001068115234,59.17302447420767
2017-06-28,59.400001525878906,59.54337465733689
2017-06-29,58.79999923706055,58.89239031594485
2017-06-30,59.310001373291016,59.302713218084236
2017-07-03,59.130001068115234,59.50701907541594
2017-07-05,59.77000045776367,59.79736858138871
2017-07-06,59.220001220703125,59.32740462818511
2017-07-07,59.630001068115234,59.7790241710771
2017-07-10,59.86000061035156,59.79282612890166
2017-07-11,59.79999923706055,59.72381274970962
2017-07-12,60.72999954223633,60.72770963757925
2017-07-13,61.18999862670898,60.93845594646581
2017-07-14,61.52000045776367,61.30840283572164
2017-07-17,61.54999923706055,61.609723672705194
2017-07-18,61.209999084472656,61.134895249488444
2017-07-19,61.380001068115234,61.42783297600647
2017-07-20,60.97999954223633,61.03568765417327
2017-07-21,61.369998931884766,61.30568796314977
2017-07-24,61.5,61.42179046975218
2017-07-25,60.540000915527344,60.73618111486259
2017-07-26,59.720001220703125,59.84652473465629
2017-07-27,59.90999984741211,59.94898978398347
2017-07-28,60.08000183105469,59.92392796264725
2017-07-31,59.790000915527344,60.10416138673224
2017-08-01,59.93999862670898,60.05132775707842
2017-08-02,60.20000076293945,59.91375268550753
2017-08-03,60.369998931884766,60.22335441529002
2017-08-04,60.130001068115234,60.29143433297549
2017-08-07,60.869998931884766,60.59796302663043
2017-08-08,60.13999938964844,60.394478506203804
2017-08-09,59.68000030517578,59.65657924973855
2017-08-10,58.56999969482422,58.57303577420633
2017-08-11,59.33000183105469,59.40639178708351
2017-08-14,59.619998931884766,59.8014653684372
2017-08-15,59.380001068115234,59.382648979723555
2017-08-16,62.13999938964844,61.67005520127135
2017-08-17,60.86000061035156,61.0918084718743
2017-08-18,61.25,61.087126480950424
2017-08-21,61.7400016784668,61.62622363965345
2017-08-22,62.959999084472656,62.70599098769855
2017-08-23,62.77000045776367,63.02274775058465
2017-08-24,62.68000030517578,62.68313797039973
2017-08-25,62.900001525878906,62.86057884794132
2017-08-28,63.459999084472656,63.362666857446754
2017-08-29,63.4900016784668,63.39196545513407
2017-08-30,63.900001525878906,63.758103686655716
