Actual,Predicted
39.4900016784668,40.157063
39.810001373291016,39.682396
39.59999847412109,40.14942
40.18999862670898,39.81427
40.04999923706055,39.88934
40.02000045776367,40.195644
38.7400016784668,40.19401
38.58000183105469,38.823692
39.2599983215332,38.563602
39.58000183105469,39.472218
39.36000061035156,39.866238
39.790000915527344,39.481403
38.75,39.950737
38.91999816894531,38.521717
39.400001525878906,39.47101
39.959999084472656,39.829777
40.4900016784668,40.252075
40.130001068115234,40.702553
40.34000015258789,40.317253
39.95000076293945,40.323112
40.060001373291016,39.942787
39.56999969482422,40.20941
40.33000183105469,39.72466
40.25,40.169216
39.310001373291016,40.1364
39.61000061035156,39.203987
40.45000076293945,39.61509
40.400001525878906,40.241066
40.970001220703125,40.397984
40.95000076293945,40.65011
41.0,41.178734
40.619998931884766,40.780502
40.720001220703125,40.7494
40.119998931884766,40.811356
39.9900016784668,40.096806
40.470001220703125,40.084225
39.41999816894531,40.621407
38.88999938964844,39.263462
38.560001373291016,38.172394
38.650001525878906,38.350174
38.81999969482422,38.43309
39.02000045776367,38.554344
38.400001525878906,39.60773
37.5099983215332,38.29892
36.22999954223633,37.67224
34.68000030517578,36.231716
34.36000061035156,33.865948
35.619998931884766,35.01314
36.63999938964844,35.42102
36.5099983215332,36.577553
36.310001373291016,36.903713
34.75,36.369152
35.529998779296875,34.58286
35.75,35.97465
35.060001373291016,36.21103
36.209999084472656,35.25921
35.540000915527344,36.30702
35.86000061035156,36.094837
35.959999084472656,36.28914
35.54999923706055,36.16339
36.150001525878906,35.975285
36.52000045776367,36.390606
36.400001525878906,36.725803
35.7400016784668,36.533924
35.689998626708984,35.872234
35.04999923706055,36.17273
34.95000076293945,35.437553
34.54999923706055,34.7664
34.45000076293945,34.60401
33.369998931884766,34.703007
33.7400016784668,33.722122
34.33000183105469,34.1832
33.7400016784668,34.5056
34.66999816894531,34.122433
35.34000015258789,34.24612
34.900001525878906,35.6752
35.540000915527344,34.63824
36.0099983215332,36.00788
36.22999954223633,36.29485
35.9900016784668,36.27491
35.630001068115234,36.162903
35.04999923706055,36.038853
35.58000183105469,35.690495
35.779998779296875,35.184475
36.22999954223633,36.081276
36.31999969482422,36.354275
35.900001525878906,36.27513
36.09000015258789,36.188168
37.11000061035156,36.652172
36.83000183105469,36.951492
37.04999923706055,36.656494
37.52000045776367,36.66562
37.70000076293945,37.099358
37.7599983215332,36.9075
38.59000015258789,38.10512
38.27000045776367,38.53444
38.34000015258789,38.392857
38.29999923706055,38.424156
38.13999938964844,38.365498
37.91999816894531,38.319298
37.97999954223633,38.308487
37.65999984741211,38.299522
37.4900016784668,38.271282
36.77000045776367,36.996082
37.33000183105469,36.565804
38.380001068115234,37.174065
39.34000015258789,37.96448
38.5,39.080063
39.27999877929688,38.49053
40.02999877929688,39.26122
40.66999816894531,39.91108
41.34000015258789,40.42119
41.970001220703125,41.104576
41.81999969482422,41.72839
41.060001373291016,41.86373
40.41999816894531,41.30185
40.150001525878906,40.850967
41.09999847412109,40.400936
40.70000076293945,40.787
41.16999816894531,40.52955
40.97999954223633,40.81544
41.25,41.33459
40.18999862670898,41.145016
40.25,39.76055
40.810001373291016,40.420822
41.43000030517578,40.819077
40.77999877929688,41.50119
40.09999847412109,41.19276
40.83000183105469,40.07739
41.220001220703125,40.8075
41.77000045776367,41.231956
42.13999938964844,41.761883
