Model,MAE,NMAE,RMSE,R2
RandomForest,2.7366111835452123,0.04979696813255386,3.523568691986005,0.9169853360138155
SVR,6.8188392460883325,0.12407956332275888,9.085170378863365,0.4481062422876959
DecisionTree,4.1114850088630375,0.07481497159512103,5.366252041406959,0.8074553469526492
XGBoost,2.2520057181168,0.040978805339132174,3.183473925312598,0.9322371094214361
