index,Model,MAE,NMAE,RMSE,R2
0,RandomForest,0.6636931189554106,0.011033718371811472,1.0333040775581788,0.9968806548464746
1,LinearRegression,0.37398272463942167,0.006217361521072703,0.6541177013281486,0.9987499742791257
2,XGBoost,0.587682580947876,0.009770063761402057,0.9130072255429268,0.9975646825841248
