Date,Open,High,Low,Close,Volume,Return,Close_lag1,Close_lag2,Close_lag3,Volume_lag1,MA5,MA10,MA20,STD5,STD10,Previous_Close,TR,ATR14,DayOfWeek,Target_Close
1999-12-16,0.33274466955652354,0.3854608307050788,0.35146537045222837,33.798282623291016,0.05712169270913106,0.822666209168605,0.3429604271286185,0.35755744013569307,0.3853612560768497,0.06641733478513923,0.3756475688469692,0.38157375187138776,0.366069061888433,0.15216662193162792,0.09163065713892321,29.819385528564453,0.24387761366139474,0.15191376506830034,3,32.85944366455078
1999-12-17,0.37925450798948473,0.38412688286070945,0.3898197273287615,32.85944366455078,0.08842556106635328,0.4946511896676965,0.404823959856472,0.3429604271286185,0.35755744013569307,0.05712169270913106,0.3783242123664918,0.38321474035586833,0.3671941073987134,0.1596624282904814,0.09343074937968714,33.798282623291016,0.07459649317086714,0.15149700078177084,4,33.53004455566406
1999-12-20,0.3779256668015478,0.3821259326384225,0.39749056300223823,33.53004455566406,0.018493816365119896,0.5926947222932702,0.39022697650468174,0.404823959856472,0.3429604271286185,0.08842556106635328,0.3814234850754665,0.3844989924779775,0.3709684513292202,0.17384301893566217,0.0994916559141917,32.85944366455078,0.03791886891700419,0.1448289677778087,0,33.35121536254883
1999-12-21,0.38257663930612484,0.3794580369496837,0.3960958710164289,33.35121536254883,0.04808503646687627,0.5403185032555844,0.400653418603347,0.39022697650468174,0.404823959856472,0.018493816365119896,0.3895942659860751,0.38606863125484026,0.37249270423916625,0.16027297863384285,0.10371205844353848,33.53004455566406,0.032276453786145076,0.14024473842644775,1,34.02181625366211
1999-12-22,0.38191219036535856,0.3887957287717351,0.3995826307324773,34.02181625366211,0.03823522040251411,0.592082435367988,0.3978729984573618,0.400653418603347,0.39022697650468174,0.04808503646687627,0.4028365671188298,0.38877982882643525,0.3768840057638546,0.04239456741683291,0.11288721601208945,33.35121536254883,0.04920442139245193,0.13482698050202777,2,35.586551666259766
1999-12-23,0.3912141920681082,0.41480796783853396,0.41213497761086176,35.586551666259766,0.04530024255554967,0.6447502543719887,0.40829944055602707,0.3978729984573618,0.400653418603347,0.03823522040251411,0.40847159092349333,0.39327470820988775,0.38192855787209024,0.10210109452736027,0.140417341387737,34.02181625366211,0.10845290985930053,0.14149499572594357,3,37.77718353271485
1999-12-27,0.4171267936604626,0.44882389397154915,0.43584491987877144,37.77718353271485,0.04168558005864776,0.6764217760152541,0.4326278054529129,0.40829944055602707,0.3978729984573618,0.04530024255554967,0.42396790638631837,0.40247851001178725,0.38867882474042925,0.18270686596574717,0.19224112366094953,35.586551666259766,0.1564158458507014,0.15274727586131304,0,43.99141693115234
1999-12-28,0.4629721831526576,0.5375321939269004,0.48465955590345006,43.99141693115234,0.08430406607758993,0.8858714801366647,0.4666875518948942,0.4326278054529129,0.40829944055602707,0.04168558005864776,0.4569327908353957,0.42074341420035066,0.39992926745654667,0.42481409242129714,0.3477262909787155,37.77718353271485,0.38494521407016685,0.19942327574844518,1,51.50214767456055
1999-12-29,0.55599186001858,0.724953431126107,0.585078271427476,51.50214767456055,0.27808395039725087,0.8985572497276206,0.5633058916182986,0.4666875518948942,0.4326278054529129,0.08430406607758993,0.5141282872609363,0.45384854923720985,0.4172404334680899,0.7130184092074096,0.5653039591251042,43.99141693115234,0.7855771510835016,0.31111226404833914,2,56.68812561035156
1999-12-30,0.694192534129527,0.734958125326076,0.7112989374466007,56.68812561035156,0.17094178945287153,0.7560526852623572,0.680082054985464,0.5633058916182986,0.4666875518948942,0.27808395039725087,0.5855522115809453,0.49672825634154627,0.4383259387651328,0.8884417629659856,0.7524074956523076,51.50214767456055,0.35391024568507373,0.35945521440131123,3,55.30221557617188
1999-12-31,0.7314003708597385,0.7342911798596243,0.7336141877287009,55.30221557617188,0.03894255805599107,0.5014261813062111,0.7607131716288014,0.680082054985464,0.5633058916182986,0.17094178945287153,0.6476783418150545,0.5310462907489671,0.4575968565273181,0.7938327936489028,0.8496184766772863,56.68812561035156,0.15923729415404125,0.376125216901008,4,51.50214767456055
2000-01-03,0.7234272670385213,0.7236194832817375,0.6345902236935343,51.50214767456055,0.11533502463150214,0.4113571942300588,0.7391651675673323,0.7607131716288014,0.680082054985464,0.03894255805599107,0.6909271471117453,0.5607981021531768,0.4735652268340653,0.48859137653363427,0.8455551508686144,55.30221557617188,0.5147275027414029,0.4407214588072864,0,47.56795501708984
2000-01-04,0.6104748022727584,0.6162357996822831,0.6053014539793372,47.56795501708984,0.11786083270907535,0.3957422654985577,0.680082054985464,0.7391651675673323,0.7607131716288014,0.11533502463150214,0.7021971947210726,0.5832011432749621,0.4856140874461857,0.3556438815169694,0.7937473995209705,51.50214767456055,0.32005431047246,0.4661432446234074,1,44.6173095703125
